timestamp,latitude,longitude,hacc,altitude,vacc,speed,course
1450096020.552884,51.907425479,-1.150283414,65,78.5282,10,-1.000000000,-1.000000000
1450096020.553150,51.907425479,-1.150283414,65,78.5282,10,-1.000000000,-1.000000000
1450096020.554248,51.907425479,-1.150283414,65,78.5282,10,-1.000000000,-1.000000000
1450096020.788193,51.907456348,-1.150262887,65,78.6571,10,-1.000000000,-1.000000000
1450096021.307185,51.907349713,-1.150432639,50,79.3926,64,0.000000000,204.609375000
1450096022.222185,51.907349713,-1.150432639,50,79.3926,64,0.000000000,204.609375000
1450096023.225184,51.907490529,-1.150645372,10,80.0448,3,0.000000000,204.609375000
1450096024.225184,51.907501174,-1.150643947,10,79.9728,3,0.189999998,204.609375000
1450096025.225184,51.907480848,-1.150613353,5,80.515,3,0.479999989,204.609375000
1450096026.225184,51.907457714,-1.150612682,5,81.0611,3,0.870000005,117.070312500
1450096027.225185,51.907417900,-1.150497263,5,81.7036,3,0.899999976,107.929687500
1450096028.226185,51.907409602,-1.150461724,5,82.0426,3,0.349999994,107.929687500
1450096029.004048,51.907456038,-1.150295092,5,81.9817,4,0.180000007,-1.000000000
1450096030.000983,51.907419325,-1.150304647,5,80.3224,3,0.189999998,-1.000000000
1450096030.999902,51.907419325,-1.150304647,5,79.856,3,0.000000000,132.187500000
1450096032.000304,51.907419325,-1.150304647,5,79.5546,3,0.000000000,168.398437500
1450096033.000162,51.907410440,-1.150341360,5,79.6075,3,0.819999993,348.750000000
1450096034.000055,51.907432443,-1.150345802,5,79.6334,3,2.049999952,15.117187500
1450096035.000094,51.907457588,-1.150337001,5,79.5115,3,3.049999952,22.500000000
1450096036.000040,51.907488769,-1.150319902,5,79.6473,3,3.710000038,22.851562500
1450096037.000149,51.907524057,-1.150298947,5,79.7058,3,4.119999886,22.851562500
1450096038.000015,51.907558674,-1.150276065,5,79.894,3,4.179999828,25.664062500
1450096039.000066,51.907591363,-1.150233904,5,79.883,3,4.739999771,41.835937500
1450096040.000066,51.907609259,-1.150172967,5,79.995,3,4.590000153,72.421875000
1450096041.000065,51.907614749,-1.150111947,5,80.0999,3,3.980000019,76.289062500
1450096042.000066,51.907616006,-1.150066350,5,80.2561,3,2.730000019,76.992187500
1450096043.000066,51.907620532,-1.150021758,5,80.639,3,3.089999914,67.851562500
1450096044.000066,51.907638931,-1.149973143,5,80.7648,3,4.190000057,54.492187500
1450096045.000066,51.907686875,-1.149935005,5,81.0657,3,5.619999886,30.585937500
1450096046.000067,51.907745381,-1.149896113,5,81.1908,3,7.010000229,24.257812500
1450096047.000066,51.907813023,-1.149847498,5,81.341,3,8.079999924,23.203125000
1450096048.000066,51.907886448,-1.149798380,5,81.4058,3,8.350000381,21.796875000
1450096049.000066,51.907963059,-1.149747167,5,81.7027,3,9.060000420,22.148437500
1450096050.000066,51.908044741,-1.149691762,5,81.8753,3,9.899999619,22.851562500
1450096051.000067,51.908130823,-1.149627808,5,82.0192,3,10.550000191,23.554687500
1450096052.000066,51.908225413,-1.149563603,5,82.0849,3,11.210000038,25.312500000
1450096053.000066,51.908319793,-1.149488669,5,82.3434,3,11.770000458,26.367187500
1450096054.000066,51.908412119,-1.149412561,5,82.2717,3,11.850000381,27.070312500
1450096055.000067,51.908503817,-1.149334777,5,82.3959,3,11.659999847,27.070312500
1450096056.000066,51.908593378,-1.149263028,5,82.6379,3,11.479999542,26.367187500
1450096057.000066,51.908684657,-1.149187759,5,82.7458,3,11.699999809,26.367187500
1450096058.000066,51.908776397,-1.149112405,5,82.9226,3,11.869999886,26.367187500
1450096059.000067,51.908873501,-1.149035292,5,83.0372,3,12.079999924,25.664062500
1450096060.000066,51.908969432,-1.148962621,5,83.0372,3,11.789999962,24.960937500
1450096061.000067,51.909062052,-1.148890201,5,83.0045,3,11.300000191,27.421875000
1450096062.000067,51.909149936,-1.148812752,5,83.2597,3,11.000000000,26.718750000
1450096063.000066,51.909239749,-1.148739327,5,83.3793,3,10.939999580,26.718750000
1450096064.000067,51.909330692,-1.148663471,5,83.3793,3,10.859999657,26.718750000
1450096065.000066,51.909412332,-1.148587363,5,83.6422,3,11.029999733,28.476562500
1450096066.000066,51.909502102,-1.148516703,5,83.6183,3,11.340000153,25.312500000
1450096067.000066,51.909587765,-1.148439758,5,83.7417,3,11.319999695,27.070312500
1450096068.000066,51.909674434,-1.148355519,5,84.0047,3,11.649999619,28.125000000
1450096068.477101,51.909674434,-1.148355519,5,84.0047,3,11.649999619,28.125000000
1450096069.000066,51.909765336,-1.148274047,5,84.0438,3,11.680000305,27.070312500
1450096070.000066,51.909865332,-1.148202801,5,84.2135,3,11.909999847,26.718750000
1450096071.000066,51.909965328,-1.148138512,5,84.2133,3,11.430000305,26.367187500
1450096072.000066,51.910052500,-1.148062069,5,84.1675,3,11.170000076,26.718750000
1450096073.000066,51.910133637,-1.147986213,5,84.3399,3,10.630000114,29.179687500
1450096074.000066,51.910216115,-1.147918571,5,84.167,3,11.060000420,25.664062500
1450096075.000067,51.910306304,-1.147851348,5,84.2934,3,11.470000267,25.664062500
1450096076.000067,51.910395906,-1.147768199,5,84.3285,3,11.470000267,30.585937500
1450096077.000067,51.910494771,-1.147699803,5,84.4205,3,12.069999695,27.070312500
1450096078.000067,51.910590241,-1.147616319,5,84.3894,3,11.689999580,30.585937500
1450096079.000067,51.910687806,-1.147533758,5,84.4243,3,11.890000343,28.476562500
1450096080.000067,51.910781558,-1.147445831,5,84.3633,3,11.989999771,28.476562500
1450096081.000066,51.910880590,-1.147362515,5,84.4896,3,12.260000229,29.179687500
1450096082.000065,51.910979748,-1.147268219,5,84.4896,3,12.500000000,29.531250000
1450096083.000067,51.911077397,-1.147178197,5,84.3683,3,12.500000000,29.882812500
1450096084.000066,51.911184099,-1.147060348,5,84.5356,3,13.300000191,31.992187500
1450096085.000067,51.911284472,-1.146939145,5,84.5757,3,12.920000076,30.937500000
1450096086.000066,51.911387527,-1.146839568,5,84.3847,3,12.500000000,30.585937500
1450096087.000067,51.911486979,-1.146742925,5,84.3065,3,12.310000420,29.882812500
1450096088.000066,51.911583538,-1.146647371,5,84.3573,3,12.310000420,30.585937500
1450096089.000066,51.911680182,-1.146554835,5,84.355,3,12.359999657,31.992187500
1450096090.000066,51.911783153,-1.146464814,5,84.2395,3,12.670000076,30.585937500
1450096091.000067,51.911898069,-1.146369847,5,84.16,3,13.090000153,29.882812500
1450096092.000067,51.911998107,-1.146276053,5,84.2128,3,12.930000305,29.882812500
1450096093.000067,51.912098606,-1.146173794,5,84.1384,3,13.439999580,29.179687500
1450096094.000066,51.912202961,-1.146075223,5,84.1472,3,13.529999733,29.531250000
1450096095.000067,51.912312973,-1.145977741,5,84.0688,3,13.590000153,29.531250000
1450096096.000066,51.912420262,-1.145889899,5,83.9755,3,13.619999886,29.179687500
1450096097.000066,51.912514893,-1.145770540,5,83.9853,3,13.800000191,29.882812500
1450096098.000067,51.912619709,-1.145665012,5,83.8989,3,13.800000191,31.640625000
1450096099.000067,51.912723100,-1.145563005,5,83.8343,3,13.789999962,32.343750000
1450096100.000065,51.912832609,-1.145464852,5,83.8293,3,13.630000114,34.101562500
1450096101.000066,51.912941826,-1.145347087,5,83.8909,3,13.920000076,35.507812500
1450096102.000066,51.913048276,-1.145240050,5,83.7253,3,13.829999924,35.507812500
1450096103.000066,51.913142446,-1.145117506,5,83.5811,4,13.850000381,37.617187500
1450096104.000066,51.913240850,-1.144999405,5,83.1879,3,13.869999886,37.265625000
1450096105.000067,51.913335356,-1.144875102,5,83.0551,3,13.680000305,36.210937500
1450096106.000066,51.913437196,-1.144754486,5,82.8015,3,13.529999733,36.562500000
1450096107.000066,51.913532205,-1.144652059,5,82.6814,3,13.579999924,36.210937500
1450096108.000066,51.913636476,-1.144546699,5,82.393,3,13.600000381,34.101562500
1450096109.000067,51.913741417,-1.144445864,5,82.3979,3,13.390000343,31.289062500
1450096110.000066,51.913837139,-1.144337738,5,82.2699,3,13.079999924,29.179687500
1450096111.000067,51.913941535,-1.144258529,5,82.3176,3,12.630000114,26.015625000
1450096112.000066,51.914045177,-1.144187870,5,82.3597,3,12.329999924,21.093750000
1450096113.000066,51.914142869,-1.144139338,5,82.2961,3,11.689999580,17.226562500
1450096114.000066,51.914245798,-1.144102123,5,82.3314,3,11.600000381,10.546875000
1450096115.000066,51.914346465,-1.144089215,5,82.184,3,11.439999580,7.031250000
1450096116.000066,51.914443024,-1.144058369,5,82.0617,3,10.720000267,10.546875000
1450096117.000066,51.914533046,-1.144014532,5,81.9711,3,10.569999695,24.960937500
1450096118.033932,51.914533046,-1.144014532,5,81.9711,3,10.569999695,24.960937500
1450096118.145387,51.914533046,-1.144014532,5,81.9711,3,10.569999695,24.960937500
1450096118.000067,51.914614895,-1.143938676,5,81.9761,3,10.300000191,40.078125000
1450096119.038700,51.914533046,-1.144014532,5,81.9711,3,10.569999695,24.960937500
1450096119.000067,51.914685848,-1.143857455,5,81.9531,3,9.779999733,40.078125000
1450096120.000066,51.914753616,-1.143782940,5,82.0528,3,9.109999657,37.617187500
1450096121.000066,51.914825994,-1.143708844,5,81.9914,3,8.390000343,31.992187500
1450096122.000065,51.914886906,-1.143651259,5,81.9757,3,8.159999847,33.591976166
1450096123.000065,51.914936797,-1.143617772,5,81.8853,3,7.940000057,33.591976166
1450096124.000066,51.915014991,-1.143556711,5,81.6784,3,7.170000076,24.145444870
1450096125.000066,51.915041866,-1.143541567,5,81.2941,3,4.010000229,24.145444870
1450096126.000066,51.915052924,-1.143534491,5,81.4158,3,1.159999967,24.145444870
1450096127.000066,51.915051838,-1.143518903,5,81.3052,3,0.000000000,24.145444870
1450096128.000067,51.915056496,-1.143531902,5,81.2961,3,0.000000000,22.148437500
1450096129.000066,51.915056496,-1.143531902,5,82.0121,3,0.000000000,22.148437500
1450096130.000066,51.915056496,-1.143531902,5,81.8644,3,0.000000000,22.148437500
1450096131.000066,51.915056496,-1.143531902,5,81.4784,3,0.000000000,22.148437500
1450096132.000067,51.915056496,-1.143531902,5,81.5517,3,0.000000000,22.148437500
1450096133.000067,51.915077744,-1.143535338,5,81.7538,3,1.019999981,22.500000000
1450096134.000065,51.915088976,-1.143518575,5,81.9756,3,2.470000029,32.343750000
1450096135.000067,51.915099453,-1.143472474,5,81.7581,3,3.720000029,57.656250000
1450096136.000067,51.915110182,-1.143412460,5,81.6994,3,4.699999809,84.726562500
1450096137.000066,51.915108757,-1.143335095,5,81.5113,3,4.889999866,88.945312500
1450096138.000066,51.915109134,-1.143249180,5,81.5113,3,6.099999905,91.054687500
1450096139.000066,51.915094382,-1.143167792,5,81.6533,3,6.320000172,88.242187500
1450096140.000066,51.915091951,-1.143080704,5,81.2459,3,5.900000095,86.132812500
1450096141.000067,51.915101423,-1.142999567,5,80.9986,3,5.329999924,76.289062500
1450096142.000066,51.915124892,-1.142942319,5,80.8221,3,4.460000038,53.085937500
1450096143.000066,51.915153810,-1.142908288,5,80.8777,3,3.480000019,25.664062500
1450096144.000067,51.915182853,-1.142894207,5,80.8743,3,3.170000076,16.171875000
1450096145.000066,51.915205778,-1.142888758,5,80.8593,3,1.240000010,15.820312500
1450096146.000066,51.915205778,-1.142888758,5,80.5918,3,0.000000000,16.171875000
1450096147.000066,51.915205778,-1.142888758,5,80.9838,3,0.000000000,16.171875000
1450096148.000066,51.915205778,-1.142888758,5,80.9143,3,0.000000000,15.820312500
