latitude,longitude,speed,altitude
51.907349713,-1.150432639,0,0
51.907349713,-1.150432639,0,0
51.907490529,-1.150645372,0,0
51.907501174,-1.150643947,0.189999998,0.6839999928
51.907480848,-1.150613353,0.479999989,1.7279999604
51.907457714,-1.150612682,0.870000005,3.132000018
51.9074179,-1.150497263,0.899999976,3.2399999136
51.907409602,-1.150461724,0.349999994,1.2599999784
51.907456038,-1.150295092,0.180000007,0.6480000252
51.907419325,-1.150304647,0.189999998,0.6839999928
51.907419325,-1.150304647,0,0
51.907419325,-1.150304647,0,0
51.90741044,-1.15034136,0.819999993,2.9519999748
51.907432443,-1.150345802,2.049999952,7.3799998272
51.907457588,-1.150337001,3.049999952,10.9799998272
51.907488769,-1.150319902,3.710000038,13.3560001368
51.907524057,-1.150298947,4.119999886,14.8319995896
51.907558674,-1.150276065,4.179999828,15.0479993808
51.907591363,-1.150233904,4.739999771,17.0639991756
51.907609259,-1.150172967,4.590000153,16.5240005508
51.907614749,-1.150111947,3.980000019,14.3280000684
51.907616006,-1.15006635,2.730000019,9.8280000684
51.907620532,-1.150021758,3.089999914,11.1239996904
51.907638931,-1.149973143,4.190000057,15.0840002052
51.907686875,-1.149935005,5.619999886,20.2319995896
51.907745381,-1.149896113,7.010000229,25.2360008244
51.907813023,-1.149847498,8.079999924,29.0879997264
51.907886448,-1.14979838,8.350000381,30.0600013716
51.907963059,-1.149747167,9.06000042,32.616001512
51.908044741,-1.149691762,9.899999619,35.6399986284
51.908130823,-1.149627808,10.550000191,37.9800006876
51.908225413,-1.149563603,11.210000038,40.3560001368
51.908319793,-1.149488669,11.770000458,42.3720016488
51.908412119,-1.149412561,11.850000381,42.6600013716
51.908503817,-1.149334777,11.659999847,41.9759994492
51.908593378,-1.149263028,11.479999542,41.3279983512
51.908684657,-1.149187759,11.699999809,42.1199993124
51.908776397,-1.149112405,11.869999886,42.7319995896
51.908873501,-1.149035292,12.079999924,43.4879997264
51.908969432,-1.148962621,11.789999962,42.4439998632
51.909062052,-1.148890201,11.300000191,40.6800006876
51.909149936,-1.148812752,11,39.6
51.909239749,-1.148739327,10.93999958,39.383998488
51.909330692,-1.148663471,10.859999657,39.0959987652
51.909412332,-1.148587363,11.029999733,39.7079990388
51.909502102,-1.148516703,11.340000153,40.8240005508
51.909587765,-1.148439758,11.319999695,40.751998902
51.909674434,-1.148355519,11.649999619,41.9399986284
51.909674434,-1.148355519,11.649999619,41.9399986284
51.909765336,-1.148274047,11.680000305,42.048001098
51.909865332,-1.148202801,11.909999847,42.8759994492
51.909965328,-1.148138512,11.430000305,41.148001098
51.9100525,-1.148062069,11.170000076,40.2120002736
51.910133637,-1.147986213,10.630000114,38.2680004104
51.910216115,-1.147918571,11.06000042,39.816001512
51.910306304,-1.147851348,11.470000267,41.2920009612
51.910395906,-1.147768199,11.470000267,41.2920009612
51.910494771,-1.147699803,12.069999695,43.451998902
51.910590241,-1.147616319,11.68999958,42.083998488
51.910687806,-1.147533758,11.890000343,42.8040012348
51.910781558,-1.147445831,11.989999771,43.1639991756
51.91088059,-1.147362515,12.260000229,44.1360008244
51.910979748,-1.147268219,12.5,45
51.911077397,-1.147178197,12.5,45
51.911184099,-1.147060348,13.300000191,47.8800006876
51.911284472,-1.146939145,12.920000076,46.5120002736
51.911387527,-1.146839568,12.5,45
51.911486979,-1.146742925,12.31000042,44.316001512
51.911583538,-1.146647371,12.31000042,44.316001512
51.911680182,-1.146554835,12.359999657,44.4959987652
51.911783153,-1.146464814,12.670000076,45.6120002736
51.911898069,-1.146369847,13.090000153,47.1240005508
51.911998107,-1.146276053,12.930000305,46.548001098
51.912098606,-1.146173794,13.43999958,48.383998488
51.912202961,-1.146075223,13.529999733,48.7079990388
51.912312973,-1.145977741,13.590000153,48.9240005508
51.912420262,-1.145889899,13.619999886,49.0319995896
51.912514893,-1.14577054,13.800000191,49.6800006876
51.912619709,-1.145665012,13.800000191,49.6800006876
51.9127231,-1.145563005,13.789999962,49.6439998632
51.912832609,-1.145464852,13.630000114,49.0680004104
51.912941826,-1.145347087,13.920000076,50.1120002736
51.913048276,-1.14524005,13.829999924,49.7879997264
51.913142446,-1.145117506,13.850000381,49.8600013716
51.91324085,-1.144999405,13.869999886,49.9319995896
51.913335356,-1.144875102,13.680000305,49.248001098
51.913437196,-1.144754486,13.529999733,48.7079990388
51.913532205,-1.144652059,13.579999924,48.8879997264
51.913636476,-1.144546699,13.600000381,48.9600013716
51.913741417,-1.144445864,13.390000343,48.2040012348
51.913837139,-1.144337738,13.079999924,47.0879997264
51.913941535,-1.144258529,12.630000114,45.4680004104
51.914045177,-1.14418787,12.329999924,44.3879997264
51.914142869,-1.144139338,11.68999958,42.083998488
51.914245798,-1.144102123,11.600000381,41.7600013716
51.914346465,-1.144089215,11.43999958,41.183998488
51.914443024,-1.144058369,10.720000267,38.5920009612
51.914533046,-1.144014532,10.569999695,38.051998902
51.914533046,-1.144014532,10.569999695,38.051998902
51.914614895,-1.143938676,10.300000191,37.0800006876
51.914533046,-1.144014532,10.569999695,38.051998902
51.914533046,-1.144014532,10.569999695,38.051998902
51.914685848,-1.143857455,9.779999733,35.2079990388
51.914753616,-1.14378294,9.109999657,32.7959987652
51.914825994,-1.143708844,8.390000343,30.2040012348
51.914886906,-1.143651259,8.159999847,29.3759994492
51.914936797,-1.143617772,7.940000057,28.5840002052
51.915014991,-1.143556711,7.170000076,25.8120002736
51.915041866,-1.143541567,4.010000229,14.4360008244
51.915052924,-1.143534491,1.159999967,4.1759998812
51.915051838,-1.143518903,0,0
51.915056496,-1.143531902,0,0
51.915056496,-1.143531902,0,0
51.915056496,-1.143531902,0,0
51.915056496,-1.143531902,0,0
51.915056496,-1.143531902,0,0
51.915077744,-1.143535338,1.019999981,3.6719999316
51.915088976,-1.143518575,2.470000029,8.8920001044
51.915099453,-1.143472474,3.720000029,13.3920001044
51.915110182,-1.14341246,4.699999809,16.9199993124
51.915108757,-1.143335095,4.889999866,17.6039995176
51.915109134,-1.14324918,6.099999905,21.959999658
51.915094382,-1.143167792,6.320000172,22.7520006192
51.915091951,-1.143080704,5.900000095,21.240000342
51.915101423,-1.142999567,5.329999924,19.1879997264
51.915124892,-1.142942319,4.460000038,16.0560001368
51.91515381,-1.142908288,3.480000019,12.5280000684
51.915182853,-1.142894207,3.170000076,11.4120002736
51.915205778,-1.142888758,1.24000001,4.464000036
51.915205778,-1.142888758,0,0
51.915205778,-1.142888758,0,0
51.915205778,-1.142888758,0,0
